sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2023,pre_election,q2,XLK,0.15372622623345467,0.06692244320379293
modern_2013_2025,2024,election,full_year,SPY,0.2488646784300117,0.0
modern_2013_2025,2024,election,full_year,QQQ,0.2557825412930894,0.006917862863077717
modern_2013_2025,2024,election,full_year,DEF,0.12657240284827864,-0.12229227558173306
modern_2013_2025,2024,election,full_year,XLV,0.024744469352987908,-0.2241202090770238
modern_2013_2025,2024,election,full_year,XLP,0.12202154611850369,-0.126843132311508
modern_2013_2025,2024,election,full_year,XLU,0.23312219040044213,-0.015742488029569568
modern_2013_2025,2024,election,full_year,XLK,0.21630625542000015,-0.03255842301001155
modern_2013_2025,2024,election,apr_oct,SPY,0.09397281926226997,0.0
modern_2013_2025,2024,election,apr_oct,QQQ,0.09299346708063072,-0.000979352181639248
modern_2013_2025,2024,election,apr_oct,DEF,0.0973310650869963,0.0033582458247263247
modern_2013_2025,2024,election,apr_oct,XLV,0.0017966228873818046,-0.09217619637488816
modern_2013_2025,2024,election,apr_oct,XLP,0.06277991664628235,-0.031192902615987617
modern_2013_2025,2024,election,apr_oct,XLU,0.23534131836909467,0.1413684991068247
modern_2013_2025,2024,election,apr_oct,XLK,0.07086850666333877,-0.023104312598931198
modern_2013_2025,2024,election,jul_dec,SPY,0.08385628882945984,0.0
